HES4
ISG15
TNFRSF18
TNFRSF4
MMP23B
PRKCZ
PLCH2
TNFRSF14-AS1
MEGF6
SMIM1
NPHP4
RPL22
PHF13
RBP7
CASZ1
NPPA-AS1
MFN2
TNFRSF1B
DHRS3
EFHD2
IFFO2
AL031005.1
C1QA
C1QB
ID3
RPL11
RHD
LDLRAP1
STMN1
SH3BGRL3
CD52
ZNF683
FGR
IFI6
AL353622.1
ZCCHC17
SPOCD1
LCK
FAM229A
EVA1B
CSF3R
LINC01137
POU3F1
MACF1
SCMH1
HYI
ST3GAL3
RPS8
MOB3C
LINC00853
PDZK1IP1
TAL1
RNF11
JUN
LEPROT
LEPR
SLC35D1
GADD45A
SRSF11
NEXN
AC103591.3
IFI44L
LINC01781
TTLL7
AL359504.2
SSX2IP
MCOLN2
GBP1
GBP5
TGFBR3
RPAP2
RPL5
FNBP1L
GCLM
KCNC4
CHI3L2
RHOC
SLC16A1-AS1
DENND2C
TSPAN2
CD2
PHGDH
CD160
ITGA10
TXNIP
CHD1L
HIST2H2BF
HIST2H2BE
OTUD7B
PLEKHO1
MCL1
CTSS
MINDY1
C1orf56
THEM5
S100A10
S100A11
S100A9
S100A12
S100A8
S100A6
S100A4
RAB13
RPS27
AQP10
ATP8B2
LMNA
PEAR1
FCRL5
FCRL3
FCRL2
FCRL1
CD1C
MNDA
PYHIN1
FCER1A
FCRL6
SLAMF8
TAGLN2
SLAMF6
CD84
SLAMF7
F11R
FCER1G
MPZ
FCGR3A
FCRLA
SH2D1B
PBX1
CD247
XCL2
XCL1
SELP
SELL
DNM3
TNFSF4
PRDX6
RALGPS2
IER5
GLUL
NCF2
ARPC5
C1orf21
PTGS2
RGS18
RGS1
RGS2
ASPM
PTPRC
PTPN7
ADIPOR1
CYB5R1
BTG2
TMCC2
SLC45A3
AC244034.2
MAPKAPK2
FCMR
G0S2
TRAF5
CENPF
LYPLAL1
CNIH3
TMEM63A
LEFTY1
PYCR2
H3F3A
CDC42BPA
ARF1
C1orf198
MAP3K21
LYST
HNRNPU
CNST
TRIM58
RPS7
LINC01871
ID2
ASAP2
GRHL1
RRM2
ODC1
TRIB2
RHOB
MFSD2B
FKBP1B
OST4
TOGARAM2
YPEL5
EHD3
LTBP1
CDC42EP3
CYP1B1
GALM
SRSF7
ZFP36L2
AC010883.1
CALM2
STON1
AC008280.3
EML6
RPS27A
CCDC88A
BCL11A
EHBP1
LGALSL
MEIS1
PLEK
AAK1
BOLA3-AS1
AC073263.2
SLC4A5
TRABD2A
TMSB10
GNLY
CD8A
CD8B
CYTOR
IGKC
MAL
ANKRD36C
DUSP2
ANKRD23
SEMA4C
ANKRD36
AC092683.1
ANKRD36B
ZAP70
AFF3
RPL31
IL18RAP
FHL2
NCK2
UXS1
CD8B2
LIMS1
MIR4435-2HG
IL1B
EPB41L5
PTPN18
TMEM163
CXCR4
ZEB2
TNFAIP6
NR4A2
ERMN
SLC4A10
GCA
GRB14
COBLL1
SLC38A11
TLK1
AC078883.3
AC078883.1
PDK1
CDCA7
GPR155
CHN1
TTN
AC010680.3
UBE2E3
LINC01934
NCKAP1
TFPI
SLC40A1
C2orf88
AC093388.1
STAT4
CAVIN2
HECW2
CTLA4
EEF1B2
LINC01857
AC007038.1
IKZF2
RPL37A
IGFBP2
TNS1
ARPC2
TMBIM1
SLC11A1
AC021016.3
VIL1
SLC23A3
TUBA4A
PTPRN
SERPINE2
ITM2C
PTMA
ATG16L1
ARL4C
COL6A3
RAMP1
UBE2F
PASK
EMC3
IRAK2
TMEM40
RPL32
ZNF385D
RPL15
SLC4A7
EOMES
CMC1
GOLGA4
CTDSPL
CX3CR1
RPSA
RPL14
NKTR
